As of 31/12/2016,As of 31/12/2017,As of 31/12/2018,As of 31/12/2019,As of 31/12/2020,As of 31/12/2021,As of 31/12/2022
WHR,WBA,VZ,WAT,WAB,VTR,VTRS
WM,WDC,WAT,WBA,WAT,VTRS,VZ
WMB,WEC,WBA,WCG,WBA,VZ,WAB
WMT,WELL,WCG,WDC,WDC,WAB,WAT
WRK,WFC,WDC,WEC,WEC,WAT,WBA
WTW,WHR,WEC,WELL,WELL,WBA,WBD
WU,WM,WELL,WFC,WFC,WDC,WDC
WY,WMB,WFC,WHR,WHR,WEC,WEC
WYNN,WMT,WHR,WM,WM,WELL,WELL
XEC,WRK,WM,WMB,WMB,WFC,WFC
XEL,WTW,WMB,WMT,WMT,WHR,WHR
XLNX,WU,WMT,WRB,WRB,WM,WM
XOM,WY,WRK,WRK,WRK,WMB,WMB
XRAY,WYNN,WTW,WTW,WST,WMT,WMT
XRX,XEC,WU,WU,WTW,WRB,WRB
XYL,XEL,WY,WY,WU,WRK,WRK
YUM,XLNX,WYNN,WYNN,WY,WST,WST
ZBH,XOM,XEC,XEC,WYNN,WTW,WTW
ZION,XRAY,XEL,XEL,XEL,WY,WY
ZTS,XRX,XLNX,XLNX,XLNX,WYNN,WYNN
,XYL,XOM,XOM,XOM,XEL,XEL
,YUM,XRAY,XRAY,XRAY,XLNX,XOM
,ZBH,XRX,XRX,XRX,XOM,XRAY
,ZION,XYL,XYL,XYL,XRAY,XYL
,ZTS,YUM,YUM,YUM,XYL,YUM
,,ZBH,ZBH,ZBH,YUM,ZBH
,,ZION,ZBRA,ZBRA,ZBH,ZBRA
,,ZTS,ZION,ZION,ZBRA,ZION
,,,ZTS,ZTS,ZION,ZTS
,,,,,ZTS,
